id,name,country,region_fullname,winary_fullname,url,bottle_url
22685,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Barton,https://www.vivino.com/US-CA/en/saint-julien-grand-cru-classe/w/22685,https://images.vivino.com/thumbs/CakMPDnYSnuZ6L0fn88EWQ_pb_x600.png
1287027,Margaux,France,Margaux,Château Angludet,https://www.vivino.com/US-CA/en/margaux/w/1287027,https://images.vivino.com/thumbs/pVKkmNOrSGidtFrM2Q9GAg_pb_x600.png
1126954,Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Calon-Ségur,https://www.vivino.com/US-CA/en/saint-estephe-grand-cru-classe/w/1126954,https://images.vivino.com/thumbs/fmI0LPDNRKCvTFUurToCAQ_pb_x600.png
79265,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Gruaud Larose,https://www.vivino.com/US-CA/en/saint-julien-grand-cru-classe/w/79265,https://images.vivino.com/thumbs/9dJEcnU_RnecZTWYx0Kh3Q_pb_x600.png
79762,Pauillac (Grand Cru Classé),France,Pauillac,Château Pichon Baron,https://www.vivino.com/US-CA/en/pauillac-grand-cru-classe-pauillac-red-wine/w/79762,https://images.vivino.com/thumbs/-VCSqTjKRqSTHfQDPvG3PA_pb_x600.png
82613,Pessac-Léognan (Grand Cru Classé de Graves),France,Pessac-Léognan,Château Pape Clément,https://www.vivino.com/US-CA/en/pessac-leognan-grand-cru-classe-de-graves/w/82613,https://images.vivino.com/thumbs/c1SE-xBESFirhNw96jwuxw_pb_x600.png
1193781,Rosé et Or,France,Côtes de Provence,Minuty,https://www.vivino.com/US-CA/en/rose-et-or/w/1193781,https://images.vivino.com/thumbs/xkMPG20ZS5mehP-XH0iBXg_pb_x600.png
22224,Sauternes (Premier Grand Cru Classé),France,Sauternes,Château Guiraud,https://www.vivino.com/US-CA/en/sauternes-premier-grand-cru-classe/w/22224,https://images.vivino.com/thumbs/seeWxpDkRimnnDRRdUoRDQ_pb_x600.png
80472,Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Montrose,https://www.vivino.com/US-CA/en/saint-estephe-grand-cru-classe/w/80472,https://images.vivino.com/thumbs/O8YKDQAYRECYJloqiCp85g_pb_x600.png
736114,Margaux (Grand Cru Classé),France,Margaux,Château Prieuré-Lichine,https://www.vivino.com/US-CA/en/margaux-grand-cru-classe/w/736114,https://images.vivino.com/thumbs/GsJpF4CYRs6XOy1eJKQVyQ_pb_x600.png
18557,Margaux (Grand Cru Classé),France,Margaux,Château Kirwan,https://www.vivino.com/US-CA/en/margaux-grand-cru-classe/w/18557,https://images.vivino.com/thumbs/O_DIr339Tq2gbZSZnUJ5yQ_pb_x600.png
23769,Margaux (Grand Cru Classé),France,Margaux,Château Brane-Cantenac,https://www.vivino.com/US-CA/en/margaux-grand-cru-classe/w/23769,https://images.vivino.com/thumbs/cSHAXbDHTvysN7LNLnssZg_pb_x600.png
23627,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Beychevelle,https://www.vivino.com/US-CA/en/saint-julien-grand-cru-classe/w/23627,https://images.vivino.com/thumbs/8co6iZt_TA2-Qe2guLjoug_pb_x600.png
1154913,Pessac-Léognan (Grand Cru Classé de Graves),France,Pessac-Léognan,Domaine de Chevalier,https://www.vivino.com/US-CA/en/pessac-leognan-grand-cru-classe-de-graves/w/1154913,https://images.vivino.com/thumbs/O4e2DlxNTieRru7u1ymtVw_pb_x600.png
1145413,Pauillac (Grand Cru Classé),France,Pauillac,Château Lynch-Moussas,https://www.vivino.com/US-CA/en/pauillac-grand-cru-classe/w/1145413,https://images.vivino.com/thumbs/GU9wZtYgS8qsy89bdIQJqQ_pb_x600.png
2038282,Les 7 Extra-Brut Champagne,France,Champagne,Laherte Freres,https://www.vivino.com/US-CA/en/les-7-extra-brut-champagne/w/2038282,https://images.vivino.com/thumbs/_p1N-_GAQcSssccPDS406g_pb_x600.png
80045,Margaux (Grand Cru Classé),France,Margaux,Château Lascombes,https://www.vivino.com/US-CA/en/margaux-grand-cru-classe/w/80045,https://images.vivino.com/thumbs/aZzpef4FSYiJ8l5hJz7Hcg_pb_x600.png
84287,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape,Château La Nerthe,https://www.vivino.com/US-CA/en/chateauneuf-du-pape/w/84287,https://images.vivino.com/thumbs/olYy8AhBRTCjWyeyFVAWXA_pb_x600.png
